[04, 15, 17, 21, 29, 46]
[02, 03, 05, 08, 25, 41]
[22, 28, 29, 30, 40, 49]
[07, 08, 13, 18, 29, 32]
[06, 07, 15, 33, 39, 45]
[21, 25, 30, 36, 37, 43]
[03, 04, 12, 31, 32, 35]
[08, 17, 23, 24, 36, 46]
[05, 08, 27, 33, 38, 48]
[07, 18, 19, 20, 24, 35]
[09, 14, 18, 22, 25, 33]
[27, 29, 31, 35, 44, 48]
[09, 18, 27, 30, 35, 41]
[16, 17, 19, 30, 33, 43]
[11, 16, 21, 25, 31, 37]
[01, 07, 26, 42, 46, 49]
[05, 13, 16, 24, 32, 33]
[02, 11, 13, 19, 27, 43]
[01, 08, 11, 22, 33, 38]
[03, 14, 20, 22, 45, 46]
[05, 06, 16, 18, 46, 47]
[04, 29, 30, 32, 38, 46]
[11, 14, 28, 37, 45, 47]
[21, 22, 34, 36, 46, 49]
[06, 22, 23, 33, 43, 45]
[02, 18, 30, 33, 39, 44]
[19, 23, 34, 37, 46, 49]
[05, 07, 32, 39, 40, 41]
[02, 11, 20, 21, 28, 34]
[01, 19, 22, 26, 41, 47]
[13, 20, 24, 37, 39, 41]
[06, 11, 22, 24, 31, 47]
[12, 30, 41, 43, 44, 48]
[07, 20, 38, 41, 45, 47]
[01, 16, 18, 23, 27, 38]
[11, 16, 27, 33, 41, 43]
[01, 32, 40, 45, 46, 49]
[18, 42, 45, 46, 47, 49]
[13, 24, 37, 39, 41, 47]
[01, 03, 18, 20, 42, 46]
[01, 14, 26, 37, 38, 46]
[03, 07, 08, 12, 25, 26]
[05, 09, 17, 24, 45, 48]
[18, 27, 30, 32, 45, 47]
[04, 08, 18, 31, 44, 47]
[13, 17, 18, 19, 26, 46]
[10, 18, 21, 32, 34, 45]
[03, 12, 16, 24, 35, 41]
[17, 20, 26, 30, 31, 33]
[05, 11, 15, 21, 28, 35]
[10, 29, 30, 32, 37, 46]
[23, 31, 34, 38, 39, 49]
[04, 06, 11, 26, 32, 48]
[15, 16, 27, 37, 39, 44]
[05, 25, 29, 32, 33, 43]
[04, 07, 10, 12, 14, 24]
[02, 05, 07, 10, 25, 43]
[11, 19, 32, 40, 44, 47]
[05, 08, 11, 15, 23, 39]
[07, 10, 35, 41, 44, 46]
[17, 18, 28, 34, 39, 41]
[12, 22, 23, 28, 42, 45]
[02, 09, 25, 32, 39, 47]
[03, 05, 17, 28, 30, 48]
[03, 07, 14, 42, 48, 49]
[04, 05, 17, 26, 29, 32]
[14, 17, 19, 27, 30, 39]
[05, 08, 15, 23, 29, 48]
[14, 16, 17, 18, 25, 27]
[10, 12, 13, 22, 25, 40]
[07, 19, 28, 29, 32, 33]
[01, 07, 08, 20, 22, 44]
[05, 08, 17, 29, 38, 43]
[10, 11, 13, 18, 20, 49]
[07, 09, 11, 18, 35, 49]
[01, 04, 06, 13, 24, 41]
[04, 12, 18, 41, 43, 46]
[06, 11, 12, 16, 22, 25]
[23, 24, 29, 31, 44, 49]
[15, 19, 21, 36, 38, 43]
[14, 19, 29, 32, 37, 43]
[19, 20, 28, 35, 36, 41]
[08, 11, 21, 29, 38, 49]
[14, 16, 23, 27, 41, 44]
[11, 12, 15, 35, 39, 47]
[14, 21, 25, 29, 42, 43]
[02, 03, 08, 12, 21, 36]
[04, 11, 18, 26, 27, 32]
[01, 09, 11, 18, 22, 41]
[04, 12, 21, 25, 29, 40]
[11, 24, 29, 41, 42, 48]
[19, 26, 28, 39, 44, 48]
[02, 07, 08, 16, 17, 38]
[01, 04, 08, 21, 28, 49]
[01, 03, 07, 16, 25, 49]
[16, 19, 24, 28, 37, 38]
[02, 12, 13, 26, 28, 29]
[04, 24, 25, 37, 46, 48]
[11, 30, 32, 38, 43, 49]
[08, 18, 20, 34, 41, 42]
