[08, 16, 21, 30, 39, 41]
[06, 13, 19, 21, 32, 45]
[03, 15, 23, 28, 39, 45]
[08, 11, 14, 21, 24, 37]
[07, 12, 15, 23, 38, 46]
[14, 15, 18, 20, 33, 39]
[01, 10, 17, 18, 26, 40]
[01, 07, 11, 12, 45, 47]
[02, 07, 15, 30, 34, 43]
[06, 16, 17, 18, 21, 31]
[02, 03, 05, 18, 40, 42]
[10, 27, 34, 35, 48, 49]
[01, 12, 19, 21, 22, 37]
[04, 05, 11, 23, 32, 37]
[07, 15, 19, 30, 43, 48]
[01, 02, 22, 26, 33, 48]
[01, 04, 05, 15, 26, 46]
[09, 19, 23, 33, 36, 46]
[04, 15, 16, 19, 45, 49]
[10, 12, 13, 27, 39, 40]
[08, 19, 20, 22, 28, 45]
[01, 02, 08, 12, 26, 42]
[06, 15, 20, 39, 41, 42]
[05, 09, 19, 23, 33, 34]
[05, 14, 19, 28, 45, 47]
[03, 15, 28, 37, 43, 44]
[01, 06, 07, 17, 29, 44]
[05, 27, 37, 38, 40, 48]
[21, 23, 35, 43, 44, 46]
[12, 20, 24, 28, 32, 38]
[01, 02, 03, 08, 20, 40]
[16, 17, 29, 38, 39, 49]
[02, 15, 18, 22, 23, 39]
[02, 17, 20, 31, 39, 46]
[16, 17, 41, 43, 48, 49]
[10, 17, 23, 24, 28, 39]
[09, 23, 29, 34, 36, 49]
[15, 20, 24, 29, 36, 43]
[12, 13, 26, 42, 43, 48]
[16, 19, 38, 40, 42, 46]
[20, 24, 33, 39, 45, 48]
[04, 07, 08, 11, 15, 34]
[13, 15, 17, 18, 30, 41]
[05, 18, 24, 34, 36, 39]
[04, 16, 28, 33, 35, 40]
[06, 11, 26, 29, 39, 48]
[05, 06, 23, 27, 40, 46]
[05, 07, 10, 14, 27, 42]
[01, 03, 08, 24, 25, 44]
[05, 12, 14, 19, 37, 49]
[02, 11, 27, 29, 31, 32]
[02, 03, 23, 33, 40, 48]
[10, 17, 23, 27, 39, 41]
[06, 09, 24, 29, 44, 49]
[14, 30, 32, 33, 37, 40]
[02, 05, 09, 28, 30, 49]
[08, 11, 16, 21, 30, 47]
[10, 18, 20, 27, 29, 38]
[01, 18, 20, 30, 40, 46]
[10, 24, 25, 27, 31, 40]
[06, 16, 23, 25, 26, 46]
[15, 24, 30, 34, 46, 48]
[09, 10, 14, 24, 27, 47]
[02, 04, 18, 19, 30, 40]
[02, 15, 31, 34, 45, 47]
[14, 22, 34, 38, 43, 46]
[19, 21, 22, 23, 35, 41]
[10, 11, 14, 15, 20, 34]
[04, 20, 21, 24, 34, 37]
[15, 19, 35, 38, 43, 49]
[08, 10, 26, 31, 37, 41]
[08, 11, 14, 19, 30, 35]
[26, 29, 32, 33, 38, 45]
[02, 08, 17, 19, 26, 38]
[06, 10, 25, 30, 33, 45]
[09, 17, 20, 21, 34, 45]
[09, 12, 27, 31, 39, 47]
[07, 15, 18, 24, 31, 33]
[11, 12, 14, 16, 23, 33]
[01, 10, 14, 25, 36, 39]
[02, 06, 18, 21, 22, 49]
[01, 17, 21, 26, 44, 49]
[09, 16, 26, 35, 42, 45]
[02, 05, 12, 15, 38, 41]
[04, 15, 22, 23, 37, 42]
[08, 20, 32, 41, 45, 47]
[08, 11, 26, 27, 29, 33]
[17, 18, 21, 26, 28, 29]
[04, 15, 28, 29, 34, 43]
[08, 20, 30, 34, 43, 47]
[08, 09, 18, 24, 26, 42]
[15, 23, 33, 34, 43, 48]
[01, 03, 14, 27, 33, 47]
[03, 10, 20, 44, 47, 48]
[13, 15, 16, 21, 22, 25]
[03, 08, 21, 26, 29, 31]
[06, 18, 19, 35, 36, 47]
[05, 11, 14, 27, 46, 49]
[01, 11, 13, 20, 37, 44]
[01, 13, 27, 31, 33, 42]
